AUC,OPT_ER,EER,Accuracy,TP,FP,TN,FN,FPR,TPR,Recall,Precision,F1_score,TPR_when_FPR0p10,TPR_when_FPR0p05,TPR_when_FPR0,FPR_when_TPR0p90,FPR_when_TPR0p95,FPR_when_TPR1p00,HL_test,model_type,model_name
0.710140306122449,0.728813559322034,0.728813559322034,0.175141242937853,2,3,125,47,0.0234375,0.0408163265306122,0.0408163265306122,0.4,0.0740740740740741,0.16,0.1,0.04,0.65,0.77,0.86,1,linearSVM,Success_given_idea_member
0.61750637755102,0.728813559322034,0.728813559322034,0.559322033898305,3,1,127,46,0.0078125,0.0612244897959184,0.0612244897959184,0.75,0.113207547169811,0.18,0.06,0.02,0.78,0.95,0.95,1,cubicSVM,Success_given_idea_member
0.61750637755102,0.728813559322034,0.728813559322034,0.519774011299435,2,0,128,47,0,0.0408163265306122,0.0408163265306122,1,0.0784313725490196,0.1,0.06,0.04,0.77,0.94,0.95,1,quadraticSVM,Success_given_idea_member
0.665497448979591,0.72316384180791,0.72316384180791,0.096045197740113,0,1,127,49,0.0078125,0,0,0,NaN,0.24,0.12,0,0.82,0.92,0.97,1,mediumGaussianSVM,Success_given_idea_member
0.674107142857143,0.72316384180791,0.72316384180791,0.220338983050847,39,67,61,10,0.5234375,0.795918367346939,0.795918367346939,0.367924528301887,0.503225806451613,0.1,0.06,0,0.67,0.71,0.88,1,coarseGaussianSVM,Success_given_idea_member
0.684470663265306,0.728813559322034,0.728813559322034,0.706214689265537,17,20,108,32,0.15625,0.346938775510204,0.346938775510204,0.459459459459459,0.395348837209302,0.31,0.14,0.02,0.61,0.86,0.88,0.000435013119040706,linearDisc,Success_given_idea_member
0.705835459183674,0.740112994350282,0.740112994350282,0.604519774011299,29,50,78,20,0.390625,0.591836734693878,0.591836734693878,0.367088607594937,0.453125,0.33,0.08,0,0.5,0.69,0.77,0,quadraticDisc,Success_given_idea_member
0.442442602040816,0.72316384180791,0.72316384180791,0.559322033898305,0,29,99,49,0.2265625,0,0,0,NaN,0,0,0,0.98,1,1,0,simpleTree,Success_given_idea_member
0.505500637755102,0.72316384180791,0.72316384180791,0.661016949152542,13,24,104,36,0.1875,0.26530612244898,0.26530612244898,0.351351351351351,0.302325581395349,0.04,0.04,0,1,1,1,0,mediumTree,Success_given_idea_member
0.458625637755102,0.72316384180791,0.72316384180791,0.655367231638418,11,23,105,38,0.1796875,0.224489795918367,0.224489795918367,0.323529411764706,0.265060240963855,0.04,0,0,1,1,1,0,complexTree,Success_given_idea_member
0.627232142857142,0.734463276836158,0.734463276836158,0.598870056497175,30,52,76,19,0.40625,0.612244897959184,0.612244897959184,0.365853658536585,0.458015267175573,0.22,0.16,0,0.84,0.9,0.99,0,RUSBoostedTrees,Success_given_idea_member
0.657684948979592,0.757062146892655,0.757062146892655,0.31638418079096,7,3,125,42,0.0234375,0.142857142857143,0.142857142857143,0.7,0.23728813559322,0.37,0.29,0,0.77,0.95,1,1,ensembleBoostedTrees,Success_given_idea_member
0.655691964285715,0.745762711864407,0.745762711864407,0.745762711864407,19,15,113,30,0.1171875,0.387755102040816,0.387755102040816,0.558823529411765,0.457831325301205,0.35,0.12,0.04,0.7,0.77,0.88,3.70024895525178e-05,ensembleBaggedTrees,Success_given_idea_member
0.634008290816327,0.72316384180791,0.72316384180791,0.689265536723164,25,31,97,24,0.2421875,0.510204081632653,0.510204081632653,0.446428571428571,0.476190476190476,0,0,0,1,1,1,0,fineKNN,Success_given_idea_member
0.653938137755102,0.72316384180791,0.72316384180791,0.649717514124294,28,41,87,21,0.3203125,0.571428571428571,0.571428571428571,0.405797101449275,0.474576271186441,0.06,0.06,0,0.92,0.92,1,0.000523500619192929,mediumKNN,Success_given_idea_member
0.616390306122449,0.72316384180791,0.72316384180791,0.27683615819209,49,128,0,0,1,1,1,0.27683615819209,0.433628318584071,0.04,0.04,0.02,0.69,0.9,0.94,0.296036793732158,coarseKNN,Success_given_idea_member
0.629304846938776,0.72316384180791,0.72316384180791,0.649717514124294,22,35,93,27,0.2734375,0.448979591836735,0.448979591836735,0.385964912280702,0.415094339622642,0.08,0.02,0,0.91,1,1,7.38864525118288e-11,cosineKNN,Success_given_idea_member
0.64827806122449,0.72316384180791,0.72316384180791,0.666666666666667,13,23,105,36,0.1796875,0.26530612244898,0.26530612244898,0.361111111111111,0.305882352941176,0.08,0.04,0,0.89,0.89,1,0.000204430134331801,cubicKNN,Success_given_idea_member
0.685905612244897,0.72316384180791,0.72316384180791,0.694915254237288,30,35,93,19,0.2734375,0.612244897959184,0.612244897959184,0.461538461538462,0.526315789473684,0.18,0.14,0,0.82,0.88,1,0.00035004940121397,weightedKNN,Success_given_idea_member
0.733258928571429,0.751412429378531,0.751412429378531,0.581920903954802,43,68,60,6,0.53125,0.877551020408163,0.877551020408163,0.387387387387387,0.5375,0.27,0.2,0.12,0.54,0.7,0.89,0,logReg,Success_given_idea_member
