Row,Estimate,SE,tStat,pValue,OddsRatio,OddsRatio_95CI_1,OddsRatio_95CI_2
(Intercept),-5.59158534257214,2.07598946346545,-2.69345555022139,0.00707155740026364,0.00372911125717011,6.18090865648355e-05,0.224987482281681
is_mit,1.17376859280953,0.703030455132392,1.66958427510583,0.095001643723847,3.23415792542688,0.806825917367705,12.9641069547281
is_harvard,2.64675667988125,1.09915521455158,2.40799174205896,0.0160405438459644,14.1082069307125,1.60967666877529,123.65309546994
years_since_graduation,0.0356755056376838,0.061000366965076,0.584840836418391,0.558654743126972,1.03631951208534,0.918701320597702,1.16899595880637
is_mba,0.14880254914894,0.791014240018282,0.188116144591153,0.850785605476675,1.16044383596356,0.243321246308578,5.53437037190759
is_phd,0.904585391410404,0.616370001785724,1.46760126026522,0.142212565484319,2.47090725128281,0.731480521780805,8.34661000894227
is_stem,0.118773503223152,0.765061207877401,0.155247059974036,0.876626549500187,1.12611482802197,0.248541096286078,5.10231356037514
skills_soft,-4.06481039233722,2.01166349385995,-2.02062144327018,0.0433189674402757,0.0171662438164186,0.000323067989023926,0.912129758367693
pic_rating_total_3,0.703518940437767,0.559838426621708,1.25664639471621,0.208881706947856,2.02085146603345,0.668909274504561,6.10522353841529
idea_rating_2min,3.3905925307571,1.60673159658233,2.11024202049005,0.0348375148021901,29.6835354683062,1.24291048439635,708.910487890945
topic_inessential,0.288828045862961,1.1822117597202,0.244311599413729,0.806989500595052,1.33486217371948,0.129260723404016,13.7849841460173
topic_essentialperiodic,0.538775153650838,1.15455425114215,0.466652089425724,0.640748812828525,1.71390630413762,0.175282584638265,16.7585092690458
topic_essentialdaily,0.780572745165688,1.21893293163067,0.640373826082004,0.521929594956609,2.1827220510625,0.196577248448811,24.2361493498832
wd_speaking_to_you,-0.310941436006422,1.69614037413688,-0.183322937622219,0.854544637748878,0.732756787776587,0.0257157481344352,20.8795212655576
wd_questions,-2.71668515102187,1.25616331981612,-2.16268466700615,0.0305654412049068,0.0660934816123067,0.00553046129039314,0.78987051572434
wd_adjectives,1.22080334264859,0.500266409153425,2.44030644534878,0.0146748075075877,3.38990989925602,1.26216238779244,9.10460431733589
positive_sentiment,0.147114781699519,0.719828224656953,0.204374844803605,0.838060586250963,1.15848692849723,0.279577679448395,4.80042600735112
